fid.x,area_code,farmland_total_by_kcity,fid.y,tunami_farmland_total_by_kcity,tsunami_farmland_share
135,102-03,718.227103146691,37,608.471883794653,0.85
136,207-06,578.195868644394,NA,NA,NA
137,362-01,915.649458343339,38,346.159688777123,0.38
138,208-01,973.910053145485,NA,NA,NA
139,214-06,823.240491668359,39,280.074452466784,0.34
140,213-22,1914.7092787878,NA,NA,NA
141,213-19,730.130140099298,NA,NA,NA
142,211-03,1420.40484870178,40,1407.22173688882,0.99
143,212-18,296.006173839955,NA,NA,NA
144,213-28,2420.87109123424,NA,NA,NA
145,212-14,2534.46700327599,NA,NA,NA
146,421-04,878.703169381037,NA,NA,NA
147,212-13,1735.43665290609,NA,NA,NA
148,361-04,1846.57290603577,41,862.551343950563,0.47
149,208-07,1019.34721835462,NA,NA,NA
150,202-19,215.519724313234,42,103.30710963684,0.48
151,213-02,1493.44073108123,NA,NA,NA
152,212-02,1785.39785515474,NA,NA,NA
153,215-15,1303.24738118673,NA,NA,NA
154,213-13,1071.57219980214,NA,NA,NA
155,205-03,611.866288609984,43,68.9192740665149,0.11
156,202-06,543.740898920509,44,304.865301580741,0.56
157,101-01,12.4784563788122,NA,NA,NA
158,215-19,1308.38011704437,NA,NA,NA
159,324-02,534.047334669101,NA,NA,NA
160,215-22,1164.52982620646,NA,NA,NA
161,362-02,1272.89644510152,45,687.592023731225,0.54
162,202-21,75.9848373109336,46,58.6133780834887,0.77
163,213-23,710.787508725589,NA,NA,NA
164,606-01,366.300294841814,47,152.00563531282,0.41
165,212-19,249.448205718836,NA,NA,NA
166,501-02,1946.67375649809,NA,NA,NA
167,505-06,3344.80382019196,NA,NA,NA
168,606-04,549.983630792834,48,133.868745961845,0.24
169,104-04,471.718568781909,NA,NA,NA
170,212-17,3184.72077587364,NA,NA,NA
171,323-01,1205.85339071601,NA,NA,NA
172,606-03,536.577978319298,49,12.4069476864648,0.02
173,213-26,1310.22015606816,NA,NA,NA
174,205-07,414.277040682445,50,84.0944108354321,0.2
175,105-01,409.13275262468,NA,NA,NA
176,205-02,222.787125907265,51,33.5628672183041,0.15
177,501-01,1905.88615978204,NA,NA,NA
178,212-08,512.201889885416,NA,NA,NA
179,406-00,610.552299946649,52,1.01068257094622,0
180,606-02,412.238258412875,53,240.350825616704,0.58
181,445-02,1497.94539096827,NA,NA,NA
182,202-08,661.305411517477,54,613.910174194659,0.93
183,202-10,43.3735695827723,55,12.1033695140362,0.28
184,212-05,1017.9916546574,NA,NA,NA
185,422-01,1280.82935399742,NA,NA,NA
186,322-01,1250.5103287439,NA,NA,NA
187,423-00,953.158922336692,NA,NA,NA
188,215-21,1167.52052945696,NA,NA,NA
189,421-02,559.695205422018,NA,NA,NA
190,401-00,1281.06864823679,56,151.159688989248,0.12
191,215-18,2446.93053152526,NA,NA,NA
192,202-05,1050.74403158652,57,562.175042041644,0.54
193,215-24,712.336532721538,NA,NA,NA
194,301-02,2106.38467378839,NA,NA,NA
195,424-00,1870.06988781056,NA,NA,NA
196,341-01,930.004938407055,NA,NA,NA
197,341-03,1120.86937410432,NA,NA,NA
198,205-08,800.787816870921,58,88.317797911495,0.11
199,212-06,579.269104867619,NA,NA,NA
200,101-03,412.227799993973,NA,NA,NA
201,215-23,214.154788147299,NA,NA,NA
202,341-08,767.233853645834,NA,NA,NA
203,205-05,825.799204562807,NA,NA,NA
204,206-08,411.675844066522,NA,NA,NA
205,213-14,545.029900941503,NA,NA,NA
206,213-10,945.366035937836,NA,NA,NA
207,301-01,1421.49545171221,NA,NA,NA
208,105-02,1456.79288772129,NA,NA,NA
209,444-00,3740.98348221609,NA,NA,NA
210,206-06,2305.44089803734,NA,NA,NA
211,421-03,866.207076315083,NA,NA,NA
212,104-05,615.045668922882,NA,NA,NA
213,445-05,1341.16507255948,NA,NA,NA
214,213-29,515.801038484463,NA,NA,NA
215,101-04,1306.28501364564,NA,NA,NA
216,215-25,551.313917643559,NA,NA,NA
217,445-04,3430.78433078732,NA,NA,NA
218,324-01,2114.54996296288,NA,NA,NA
219,302-00,795.459639593368,NA,NA,NA
