fid,area_code,farmland_total_by_kcity
190,401-00,1281.06864823679
191,215-18,2446.93053152526
192,202-05,1050.74403158652
193,215-24,712.336532721538
194,301-02,2106.38467378839
195,424-00,1870.06988781056
196,341-01,930.004938407055
197,341-03,1120.86937410432
198,205-08,800.787816870921
199,212-06,579.269104867619
200,101-03,412.227799993973
201,215-23,214.154788147299
202,341-08,767.233853645834
203,205-05,825.799204562807
204,206-08,411.675844066522
205,213-14,545.029900941503
206,213-10,945.366035937836
207,301-01,1421.49545171221
208,105-02,1456.79288772129
209,444-00,3740.98348221609
210,206-06,2305.44089803734
211,421-03,866.207076315083
212,104-05,615.045668922882
213,445-05,1341.16507255948
214,213-29,515.801038484463
215,101-04,1306.28501364564
216,215-25,551.313917643559
217,445-04,3430.78433078732
218,324-01,2114.54996296288
219,302-00,795.459639593368
